Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
776490,永遠消失的幻想鄉 ～ The Disappearing of Gensokyo,97.99,-30%,0.12,6.6,7,4,3.96,26.4,-75.55,-831.05,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-776490,https://store.steampowered.com/app/776490/__The_Disappearing_of_Gensokyo/,]
266840,Age of Mythology: Extended Edition,82.49,-75%,0.05,2.75,6,3,1.23,8.25,-75.47,-830.17,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-266840,https://store.steampowered.com/app/266840/Age_of_Mythology_Extended_Edition/,]
235540,Warhammer: End Times - Vermintide,82.49,-75%,0.05,2.75,5,3,1.23,8.25,-75.47,-830.17,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-235540,https://store.steampowered.com/app/235540/Warhammer_End_Times__Vermintide/,]
404590,Vikings - Wolves of Midgard,82.49,-75%,0.05,2.75,6,3,1.23,8.25,-75.47,-830.17,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-404590,https://store.steampowered.com/app/404590/Vikings__Wolves_of_Midgard/,]
312370,"Warhammer 40,000: Armageddon",87.99,-80%,0.09,4.95,6,3,2.22,14.85,-75.36,-828.96,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-312370,https://store.steampowered.com/app/312370/Warhammer_40000_Armageddon/,]
351970,Tales of Zestiria,86.39,-84%,0.06,3.3,7,4,1.98,13.2,-75.17,-826.87,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-351970,https://store.steampowered.com/app/351970/Tales_of_Zestiria/,]
348710,Saint Seiya: Soldiers' Soul,86.39,-84%,0.08,4.4,5,3,1.98,13.2,-75.17,-826.87,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-348710,https://store.steampowered.com/app/348710/Saint_Seiya_Soldiers_Soul/,]
567860,Passage 4,91.99,-20%,0.12,6.6,6,3,2.96,19.79,-75.16,-826.76,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-567860,https://store.steampowered.com/app/567860/Passage_4/,]
1118200,People Playground,84.49,-35%,0.05,2.75,7,4,1.65,11.0,-75.14,-826.54,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1118200,https://store.steampowered.com/app/1118200/People_Playground/,]
603870,A Tale of Two Kingdoms,119.99,-20%,0.24,13.2,7,4,7.92,52.8,-75.11,-826.21,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-603870,https://store.steampowered.com/app/603870/A_Tale_of_Two_Kingdoms/,]
381210,Dead by Daylight,89.99,-60%,0.08,4.4,7,4,2.64,17.6,-75.03,-825.33,,2020 Halloween Sale,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-381210,https://store.steampowered.com/app/381210/Dead_by_Daylight/,]
211820,Starbound,89.99,-50%,0.04,2.2,15,8,2.64,17.6,-75.03,-825.33,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-211820,https://store.steampowered.com/app/211820/Starbound/,]
542050,Forgotton Anne,89.99,-60%,0.04,2.2,15,8,2.64,17.6,-75.03,-825.33,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-542050,https://store.steampowered.com/app/542050/Forgotton_Anne/,]
344770,fault - milestone two side:above,89.99,-50%,0.08,4.4,7,4,2.64,17.6,-75.03,-825.33,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-344770,https://store.steampowered.com/app/344770/fault__milestone_two_sideabove/,]
435970,RefRain - prism memories -,89.99,-50%,0.08,4.4,7,4,2.64,17.6,-75.03,-825.33,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-435970,https://store.steampowered.com/app/435970/RefRain__prism_memories/,]
325730,The Hive,89.99,-50%,0.08,4.4,7,4,2.64,17.6,-75.03,-825.33,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-325730,https://store.steampowered.com/app/325730/The_Hive/,]
464360,3030 Deathwar Redux - A Space Odyssey,89.99,-50%,0.04,2.2,15,8,2.64,17.6,-75.03,-825.33,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-464360,https://store.steampowered.com/app/464360/3030_Deathwar_Redux__A_Space_Odyssey/,]
