AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link
255070,Abyss Odyssey,35.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,10 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-255070,https://store.steampowered.com/app/255070
327090,Out of Reach,35.99,-80%,,,,,,,,,,X,"lowest price is ARS$ 17,99 at -90%",5 days ago,9 days,https://www.steamcardexchange.net/index.php?gamepage-appid-327090,https://store.steampowered.com/app/327090
830590,Holy Potatoes! A Spy Story?!,35.99,-80%,,,,,,,,,,X,new highest discount,11 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-830590,https://store.steampowered.com/app/830590
563260,Steel Empire,35.99,-80%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-563260,https://store.steampowered.com/app/563260
534010,Defense of Egypt: Cleopatra Mission,37.04,-61%,,,,,,,,,,X,new highest discount,8 days ago,6 days,https://www.steamcardexchange.net/index.php?gamepage-appid-534010,https://store.steampowered.com/app/534010
249050,Dungeon of the Endless™ - Crystal Edition,37.49,-75%,,,,,,,,,,SEGA's 60th Anniversary Celebration,Product is priced on par with lowest recorded price,10 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-249050,https://store.steampowered.com/app/249050
563250,Lemuria: Lost in Space,37.49,-75%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 26,99 at -82%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-563250,https://store.steampowered.com/app/563250
292910,Deponia: The Complete Journey,37.99,-90%,,,,,,,,,,X,Product is priced on par with lowest recorded price,11 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-292910,https://store.steampowered.com/app/292910
335190,200% Mixed Juice!,37.99,-60%,,,,,,,,,,Weeklong Deals,No,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-335190,https://store.steampowered.com/app/335190
279720,The I of the Dragon,37.99,-60%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 12,34 at -87%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-279720,https://store.steampowered.com/app/279720
302510,Ryse: Son of Rome,38.99,-70%,,,,,,,,,,X,Product is priced on par with lowest recorded price,6 days ago,8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-302510,https://store.steampowered.com/app/302510
501320,The Shrouded Isle,38.99,-70%,,,,,,,,,,X,Product is priced on par with lowest recorded price,4 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-501320,https://store.steampowered.com/app/501320
461620,Predynastic Egypt,38.99,-70%,,,,,,,,,,X,"lowest price is ARS$ 32,49 at -75%",12 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-461620,https://store.steampowered.com/app/461620
414660,Vampire Legends: The True Story of Kisilova,38.99,-70%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-414660,https://store.steampowered.com/app/414660
249650,Blackguards,38.99,-90%,,,,,,,,,,X,"lowest price is ARS$ 12,99 at -90%",11 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-249650,https://store.steampowered.com/app/249650
678970,Modern Tales: Age of Invention,38.99,-70%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-678970,https://store.steampowered.com/app/678970
668590,Omen Exitio: Plague,38.99,-70%,,,,,,,,,,X,"lowest price is ARS$ 37,49 at -75%",3 days ago,4 days,https://www.steamcardexchange.net/index.php?gamepage-appid-668590,https://store.steampowered.com/app/668590
284870,9 Clues: The Secret of Serpent Creek,38.99,-70%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 25,99 at -80%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-284870,https://store.steampowered.com/app/284870
"249650,281770,203830,243200",The Dark Eye Universe Bundle,38.99,-90%,,,,,,,,,,-,-,-,-,"https://www.steamcardexchange.net/index.php?gamepage-appid-249650,281770,203830,243200","https://store.steampowered.com/app/249650,281770,203830,243200"
284710,Abyss: The Wraiths of Eden,38.99,-70%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-284710,https://store.steampowered.com/app/284710
243200,Memoria,38.99,-90%,,,,,,,,,,X,"lowest price is ARS$ 22,49 at -90%",11 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-243200,https://store.steampowered.com/app/243200
313650,Time Mysteries 2: The Ancient Spectres,38.99,-70%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-313650,https://store.steampowered.com/app/313650
203830,The Dark Eye: Chains of Satinav,38.99,-90%,,,,,,,,,,X,"lowest price is ARS$ 22,49 at -90%",11 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-203830,https://store.steampowered.com/app/203830
